relationship_type,source_id,source_name,target_id,target_name,notes
Platform to Domain,PLT-001,CIPAce Enterprise Platform,,,Root platform
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-100,Evaluate Project Candidate,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-200,Evaluate & Allocate Funding,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-300,Finalize Capital Plan,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-400,Develop Capital Budget,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-500,Develop Project Design,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-600,Manage Solicitation,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-700,Manage Project Construction,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-800,Track Asset Condition,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-900,Perform Preventative Maintenance,Level 1 domain
Platform to Domain,PLT-001,CIPAce Enterprise Platform,DOM-1000,Manage Work Order,Level 1 domain
Domain to Capability,DOM-100,Evaluate Project Candidate,CAP-110,Candidate Intake Management,Level 2 capability
Domain to Capability,DOM-100,Evaluate Project Candidate,CAP-120,Condition Assessment,Level 2 capability
Domain to Capability,DOM-100,Evaluate Project Candidate,CAP-130,Risk Assessment,Level 2 capability
Domain to Capability,DOM-100,Evaluate Project Candidate,CAP-140,Project Prioritization,Level 2 capability
Domain to Capability,DOM-100,Evaluate Project Candidate,CAP-150,Preliminary Cost Estimation,Level 2 capability
Domain to Capability,DOM-200,Evaluate & Allocate Funding,CAP-210,Funding Source Management,Level 2 capability
Domain to Capability,DOM-200,Evaluate & Allocate Funding,CAP-220,Funding Eligibility Analysis,Level 2 capability
Domain to Capability,DOM-200,Evaluate & Allocate Funding,CAP-230,Grant Management,Level 2 capability
Domain to Capability,DOM-200,Evaluate & Allocate Funding,CAP-240,Cash Flow Forecasting,Level 2 capability
Domain to Capability,DOM-200,Evaluate & Allocate Funding,CAP-250,Funding Optimization,Level 2 capability
Domain to Capability,DOM-300,Finalize Capital Plan,CAP-310,Scenario Development,Level 2 capability
Domain to Capability,DOM-300,Finalize Capital Plan,CAP-320,Portfolio Analysis,Level 2 capability
Domain to Capability,DOM-300,Finalize Capital Plan,CAP-330,Executive Review,Level 2 capability
Domain to Capability,DOM-300,Finalize Capital Plan,CAP-340,Approval Workflow,Level 2 capability
Domain to Capability,DOM-400,Develop Capital Budget,CAP-410,Budget Assembly,Level 2 capability
Domain to Capability,DOM-400,Develop Capital Budget,CAP-420,Budget Forecasting,Level 2 capability
Domain to Capability,DOM-400,Develop Capital Budget,CAP-430,Fund Balancing,Level 2 capability
Domain to Capability,DOM-400,Develop Capital Budget,CAP-440,Budget Publication,Level 2 capability
Domain to Capability,DOM-400,Develop Capital Budget,CAP-450,Variance Analysis,Level 2 capability
Domain to Capability,DOM-500,Develop Project Design,CAP-510,Scope Definition,Level 2 capability
Domain to Capability,DOM-500,Develop Project Design,CAP-520,Design Coordination,Level 2 capability
Domain to Capability,DOM-500,Develop Project Design,CAP-530,Document Control,Level 2 capability
Domain to Capability,DOM-500,Develop Project Design,CAP-540,Consultant Management,Level 2 capability
