feature_id,feature,persona,opening_line,demo_action,business_payoff
FEA-111,Project Submission,Capital Program Manager,Show how Capital Program Manager uses Project Submission.,Open Candidate Dashboard and highlight Projects Submitted.,Improves visibility and decision-making around Project Submission.
FEA-112,Request Tracking,Asset Manager,Show how Asset Manager uses Request Tracking.,Open Candidate Portfolio and highlight Request Volume.,Improves visibility and decision-making around Request Tracking.
FEA-121,Inspection Collection,Asset Manager,Show how Asset Manager uses Inspection Collection.,Open Condition Assessment and highlight Assets Assessed.,Improves visibility and decision-making around Inspection Collection.
FEA-131,Risk Matrix,Public Works Director,Show how Public Works Director uses Risk Matrix.,Open Risk Dashboard and highlight Risk Rating.,Improves visibility and decision-making around Risk Matrix.
FEA-141,Weighted Ranking,Executive Team,Show how Executive Team uses Weighted Ranking.,Open Priority Dashboard and highlight Priority Score.,Improves visibility and decision-making around Weighted Ranking.
FEA-151,Preliminary Estimates,Finance Director,Show how Finance Director uses Preliminary Estimates.,Open Cost Estimate Screen and highlight Estimated Cost.,Improves visibility and decision-making around Preliminary Estimates.
FEA-211,Fund Registry,Finance Director,Show how Finance Director uses Fund Registry.,Open Funding Dashboard and highlight Fund Utilization.,Improves visibility and decision-making around Fund Registry.
FEA-221,Eligibility Rules,Grant Coordinator,Show how Grant Coordinator uses Eligibility Rules.,Open Eligibility Matrix and highlight Eligible Projects.,Improves visibility and decision-making around Eligibility Rules.
FEA-231,Grant Matching,Grants Manager,Show how Grants Manager uses Grant Matching.,Open Grant Workspace and highlight Grant Capture Rate.,Improves visibility and decision-making around Grant Matching.
FEA-241,Revenue Projection,Finance Director,Show how Finance Director uses Revenue Projection.,Open Cash Flow Forecast and highlight Forecast Accuracy.,Improves visibility and decision-making around Revenue Projection.
FEA-251,Scenario Modeling,City Manager,Show how City Manager uses Scenario Modeling.,Open Funding Scenarios and highlight Funding Coverage.,Improves visibility and decision-making around Scenario Modeling.
FEA-311,Scenario Builder,Capital Planner,Show how Capital Planner uses Scenario Builder.,Open Scenario Workspace and highlight Scenario Completion.,Improves visibility and decision-making around Scenario Builder.
FEA-321,Portfolio Ranking,Executive Team,Show how Executive Team uses Portfolio Ranking.,Open Portfolio Dashboard and highlight Portfolio Value.,Improves visibility and decision-making around Portfolio Ranking.
FEA-331,Executive Summary,City Manager,Show how City Manager uses Executive Summary.,Open Executive Briefing and highlight Approval Readiness.,Improves visibility and decision-making around Executive Summary.
FEA-341,Routing,Executive Team,Show how Executive Team uses Routing.,Open Approval Queue and highlight Approval Cycle Time.,Improves visibility and decision-making around Routing.
FEA-411,Budget Builder,Budget Officer,Show how Budget Officer uses Budget Builder.,Open Budget Workspace and highlight Budget Completion.,Improves visibility and decision-making around Budget Builder.
FEA-421,Forecast Engine,Finance Director,Show how Finance Director uses Forecast Engine.,Open Forecast Dashboard and highlight Forecast Accuracy.,Improves visibility and decision-making around Forecast Engine.
FEA-431,Fund Allocation,Finance Team,Show how Finance Team uses Fund Allocation.,Open Allocation Matrix and highlight Fund Balance.,Improves visibility and decision-making around Fund Allocation.
FEA-441,Budget Reporting,Executive Team,Show how Executive Team uses Budget Reporting.,Open Published Budget and highlight Publication Time.,Improves visibility and decision-making around Budget Reporting.
FEA-451,Variance Tracking,Finance Director,Show how Finance Director uses Variance Tracking.,Open Variance Dashboard and highlight Budget Variance.,Improves visibility and decision-making around Variance Tracking.
FEA-511,Scope Registry,Engineering Manager,Show how Engineering Manager uses Scope Registry.,Open Scope Dashboard and highlight Scope Completeness.,Improves visibility and decision-making around Scope Registry.
FEA-521,Design Tracking,Project Manager,Show how Project Manager uses Design Tracking.,Open Design Workspace and highlight Design Completion.,Improves visibility and decision-making around Design Tracking.
FEA-531,Document Library,Engineering Team,Show how Engineering Team uses Document Library.,Open Repository and highlight Document Accuracy.,Improves visibility and decision-making around Document Library.
FEA-541,Consultant Tracking,PMO,Show how PMO uses Consultant Tracking.,Open Consultant Dashboard and highlight Consultant Performance.,Improves visibility and decision-making around Consultant Tracking.
FEA-551,Review Workflow,Engineering Director,Show how Engineering Director uses Review Workflow.,Open Review Center and highlight Review Cycle Time.,Improves visibility and decision-making around Review Workflow.
